"date","site","round","starttime","endtime","start30","end30","year","starttemp","endtemp","avg.temp"
2021-06-30,"Rustlers Gulch",2,"11:52","12:21","12:00","12:30",2021,23.1,20.901,22.0005
2021-06-30,"Rustlers Gulch",3,"13:55","14:18","14:00","14:30",2021,20.234,21.091,20.6625
2021-07-01,"403 Bench",NA,"10:23","10:56","10:30","11:00",2021,19.377,15.664,17.5205
2021-07-01,"Gothic Town",NA,"10:25","12:37","10:30","12:30",2021,22.046,21.282,21.664
2021-07-01,"Kebler Pass",1,"10:19","10:57","10:30","11:00",2021,23.773,21.473,22.623
2021-07-01,"Kebler Pass",2,"12:26","13:08","12:30","13:00",2021,21.378,21.091,21.2345
2021-07-01,"Kebler Pass",3,"14:20","15:11","14:30","15:00",2021,24.062,25.513,24.7875
2021-07-02,"Virginia Basin",NA,"10:43","12:20","10:30","12:30",2021,19.853,22.812,21.3325
2021-07-02,"Brush Creek Hill",NA,"14:27","14:52","14:30","15:00",2021,22.429,28.06,25.2445
2021-07-02,"Pfeiler",NA,"10:33","10:57","10:30","11:00",2021,22.046,21.951,21.9985
2021-07-02,"Wash 3C",NA,"11:32","11:55","11:30","12:00",2021,30.356,24.351,27.3535
2021-07-02,"Meridian",NA,"13:05","13:36","13:00","13:30",2021,22.333,22.429,22.381
2021-07-05,"Lake Irwin",NA,"10:42","11:23","10:30","11:30",2021,26.195,27.961,27.078
2021-07-05,"Ohio Pass High",NA,"12:13","12:52","12:00","13:00",2021,29.252,31.472,30.362
2021-07-05,"Ohio Pass Low",NA,"13:34","14:10","13:30","14:00",2021,30.558,28.953,29.7555
2021-07-06,"Brush Creek Trail",NA,"10:24","11:04","10:30","11:00",2021,24.738,26.292,25.515
2021-07-06,"Coal Creek",NA,"12:01","12:30","12:00","12:30",2021,25.222,26.39,25.806
2021-07-06,"Avery Picnic",NA,"11:43","13:14","11:30","13:00",2021,24.835,29.953,27.394
2021-07-06,"Rustlers Gulch",1,"10:04","10:45","10:00","11:00",2021,24.255,24.448,24.3515
2021-07-06,"Rustlers Gulch",2,"12:01","13:00","12:00","13:00",2021,22.908,23.773,23.3405
2021-07-06,"Rustlers Gulch",3,"14:03","14:54","14:00","15:00",2021,26.585,23.966,25.2755
2021-07-07,"Virginia Basin",NA,"10:48","13:40","11:00","13:30",2021,21.664,27.272,24.468
2021-07-07,"Kebler Pass",1,"10:08","10:58","10:00","11:00",2021,27.665,30.558,29.1115
2021-07-07,"Kebler Pass",2,"11:57","12:57","12:00","13:00",2021,32.497,33.953,33.225
2021-07-07,"Kebler Pass",3,"13:55","14:36","14:00","14:30",2021,33.639,33.535,33.587
2021-07-08,"403 Bench",NA,"10:19","10:57","10:30","11:00",2021,22.046,24.931,23.4885
2021-07-08,"Gothic Town",NA,"10:56","12:19","11:00","12:30",2021,25.61,25.902,25.756
2021-07-08,"Brush Creek Hill",1,"10:11","10:51","10:00","11:00",2021,33.639,35.649,34.644
2021-07-08,"Brush Creek Hill",2,"12:02","12:46","12:00","13:00",2021,37.714,38.826,38.27
2021-07-08,"Brush Creek Hill",3,"14:00","14:40","14:00","14:30",2021,35.435,32.394,33.9145
2021-07-09,"Wash 3C",NA,"10:53","11:20","11:00","11:30",2021,35.756,36.62,36.188
2021-07-09,"Pfeiler",NA,"11:59","12:18","12:00","12:30",2021,32.188,34.163,33.1755
2021-07-09,"Meridian",NA,"13:03","13:35","13:00","13:30",2021,33.326,31.983,32.6545
2021-07-09,"Stupid Falls",1,"10:16","11:02","10:30","11:00",2021,33.848,33.326,33.587
2021-07-09,"Stupid Falls",2,"12:04","12:48","12:00","13:00",2021,33.743,31.472,32.6075
2021-07-09,"Stupid Falls",3,"14:00","14:41","14:00","14:30",2021,31.88,27.665,29.7725
2021-07-12,"Ohio Pass High",NA,"12:15","12:43","12:30","12:30",2021,29.552,29.552,29.552
2021-07-12,"Ohio Pass Low",NA,"10:38","11:18","10:30","11:30",2021,23.196,25.708,24.452
2021-07-12,"Lake Irwin",NA,"13:36","13:59","13:30","14:00",2021,30.154,32.6,31.377
2021-07-12,"Coal Creek",NA,"14:41","15:05","14:30","15:00",2021,31.268,31.166,31.217
